#Parameters = {Curva=0; DistanciaX=50; DistanciaY=50; Hcooper=0.035; Hfr=1.565; La=14; Lamda=61.2322; Lf=15; Lfdiv=15.30805; Lp=27; Placa=100; Wa=2; Wf=3; Wfdiv=1.6548; Wp=26.11}
#"Frequency / MHz"	"VSWR2 [Magnitude]"
#-------------------------------------
2020.0000000000	27.200171345044
2022.0000000000	26.299014953131
2024.0000000000	25.416688456341
2026.0000000000	24.552917715483
2028.0000000000	23.707397853824
2030.0000000000	22.879791826629
2032.0000000000	22.069728830192
2034.0000000000	21.276802519820
2036.0000000000	20.500569002050
2038.0000000000	19.740544562181
2040.0000000000	18.996203200404
2042.0000000000	18.266973329463
2044.0000000000	17.552234826451
2046.0000000000	16.851315110897
2048.0000000000	16.163484868091
2050.0000000000	15.487953254156
2052.0000000000	14.823862583141
2054.0000000000	14.170282545946
2056.0000000000	13.526204095509
2058.0000000000	12.890533273092
2060.0000000000	12.262085479314
2062.0000000000	11.639581062201
2064.0000000000	11.021643683613
2066.0000000000	10.406803861943
2068.0000000000	9.7935115709120
2070.0000000000	9.1801641089436
2072.0000000000	8.5651591096900
2074.0000000000	7.9469882403806
2076.0000000000	7.3243958281894
2078.0000000000	6.6966396923310
2080.0000000000	6.0639103736249
2082.0000000000	5.4279913383455
2084.0000000000	4.7932770248811
2086.0000000000	4.1683116979532
2088.0000000000	3.5680906238343
2090.0000000000	3.0175871258634
2092.0000000000	2.5576227124746
2094.0000000000	2.2543166076487
2096.0000000000	2.2001266810335
2098.0000000000	2.4638040762122
2100.0000000000	3.0342263225142
2102.0000000000	3.8444391057707
2104.0000000000	4.7923270015601
2106.0000000000	5.7540475101909
2108.0000000000	6.6164455034178
2110.0000000000	7.3066963878403
2112.0000000000	7.7996370958381
2114.0000000000	8.1060509356010
2116.0000000000	8.2553297962911
2118.0000000000	8.2818345138784
2120.0000000000	8.2172832701381
2122.0000000000	8.0877887868425
2124.0000000000	7.9135029454678
2126.0000000000	7.7093823467782
2128.0000000000	7.4862580729447
2130.0000000000	7.2518463040940
2132.0000000000	7.0115783687834
2134.0000000000	6.7692376144617
2136.0000000000	6.5274303612908
2138.0000000000	6.2879270276433
2140.0000000000	6.0519063707565
2142.0000000000	5.8201292515383
2144.0000000000	5.5930618201068
2146.0000000000	5.3709626235088
2148.0000000000	5.1539440145410
2150.0000000000	4.9420152222908
2152.0000000000	4.7351122936549
2154.0000000000	4.5331186197238
2156.0000000000	4.3358787669455
2158.0000000000	4.1432077509180
2160.0000000000	3.9548977039353
2162.0000000000	3.7707241687060
2164.0000000000	3.5904551898273
2166.0000000000	3.4138683024428
2168.0000000000	3.2407838541339
2170.0000000000	3.0711279912897
2172.0000000000	2.9050437069432
2174.0000000000	2.7430673673069
2176.0000000000	2.5863642393448
2178.0000000000	2.4369402293482
2180.0000000000	2.2976061773750
2182.0000000000	2.1713717971072
2184.0000000000	2.0601939628690
2186.0000000000	1.9637399899982
2188.0000000000	1.8792887321606
2190.0000000000	1.8030460076892
2192.0000000000	1.7318041787307
2194.0000000000	1.6638259574914
2196.0000000000	1.5988403387510
2198.0000000000	1.5376578423346
2200.0000000000	1.4818257838496
2202.0000000000	1.4334543462274
2204.0000000000	1.3951421196709
2206.0000000000	1.3698086359992
2208.0000000000	1.3602060255953
2210.0000000000	1.3681164245617
2212.0000000000	1.3937509775704
2214.0000000000	1.4359245905672
2216.0000000000	1.4928236430945
