#Parameters = {Curva=0; DistanciaX=50; DistanciaY=50; Hcooper=0.035; Hfr=1.565; La=14; Lamda=61.2322; Lf=15; Lfdiv=15.30805; Lp=27; Placa=100; Wa=2; Wf=3; Wfdiv=1.6548; Wp=26.11}
#"Frequency / MHz"	"VSWR2 [Magnitude]"
#-------------------------------------
1700.0000000000	1.0000000000000
1702.0000000000	1.0000000000000
1704.0000000000	1.0000000000000
1706.0000000000	1.0000000000000
1708.0000000000	1.0000000000000
1710.0000000000	1.0000000000000
1712.0000000000	1.0000000000000
1714.0000000000	1.0000000000000
1716.0000000000	1.0000000000000
1718.0000000000	1.0000000000000
1720.0000000000	1.0000000000000
1722.0000000000	1.0000000000000
1724.0000000000	1.0000000000000
1726.0000000000	742.92273519620
1728.0000000000	335.71368753852
1730.0000000000	216.75196964091
1732.0000000000	160.45552175651
1734.0000000000	127.94039675462
1736.0000000000	106.99287592191
1738.0000000000	92.551145439103
1740.0000000000	82.145732425914
1742.0000000000	74.430343383571
1744.0000000000	68.613457897569
1746.0000000000	64.201634805621
1748.0000000000	60.876272603368
1750.0000000000	58.425723674463
1752.0000000000	56.710394105845
1754.0000000000	55.639663315773
1756.0000000000	55.160116403477
1758.0000000000	55.249328096859
1760.0000000000	55.912198884525
1762.0000000000	57.182460711671
1764.0000000000	59.126359523259
1766.0000000000	61.851878844943
1768.0000000000	65.523330971627
1770.0000000000	70.389018162161
1772.0000000000	76.826881934754
1774.0000000000	85.430919947200
1776.0000000000	97.177759778134
1778.0000000000	113.77762679828
1780.0000000000	138.51126658712
1782.0000000000	178.53446882692
1784.0000000000	252.98619952336
1786.0000000000	435.91408269980
1788.0000000000	1552.7932428540
1790.0000000000	1.0000000000000
1792.0000000000	1.0000000000000
1794.0000000000	1.0000000000000
1796.0000000000	1.0000000000000
1798.0000000000	1.0000000000000
1800.0000000000	1.0000000000000
1802.0000000000	1.0000000000000
1804.0000000000	1.0000000000000
1806.0000000000	1.0000000000000
1808.0000000000	1.0000000000000
1810.0000000000	1.0000000000000
1812.0000000000	1.0000000000000
1814.0000000000	1.0000000000000
1816.0000000000	1.0000000000000
1818.0000000000	1.0000000000000
1820.0000000000	1.0000000000000
1822.0000000000	1.0000000000000
1824.0000000000	1.0000000000000
1826.0000000000	1.0000000000000
1828.0000000000	1.0000000000000
1830.0000000000	1.0000000000000
1832.0000000000	1.0000000000000
1834.0000000000	1.0000000000000
1836.0000000000	1.0000000000000
1838.0000000000	1.0000000000000
1840.0000000000	732.76214927387
1842.0000000000	293.44495646783
1844.0000000000	181.04441619676
1846.0000000000	129.99178511045
1848.0000000000	101.05729435871
1850.0000000000	82.576067079054
1852.0000000000	69.859648559522
1854.0000000000	60.657804666969
1856.0000000000	53.760413572028
1858.0000000000	48.457661453499
1860.0000000000	44.308602430468
1862.0000000000	41.024716602287
1864.0000000000	38.411009624713
1866.0000000000	36.331978602074
1868.0000000000	34.691424839124
1870.0000000000	33.420872564207
1872.0000000000	32.471561122102
1874.0000000000	31.809661302322
1876.0000000000	31.413147377117
1878.0000000000	31.270113210568
1880.0000000000	31.377507250188
1882.0000000000	31.741361772244
1884.0000000000	32.377279338311
1886.0000000000	33.311706929859
1888.0000000000	34.585112803236
1890.0000000000	36.255788932095
1892.0000000000	38.407168336652
1894.0000000000	41.158851204948
1896.0000000000	44.685336531004
1898.0000000000	49.247853808635
1900.0000000000	55.252420605362
1902.0000000000	63.363652782476
1904.0000000000	74.743361779072
1906.0000000000	91.615920403573
1908.0000000000	118.83992812596
1910.0000000000	169.42364814612
1912.0000000000	293.89882997472
1914.0000000000	1065.0563555318
1916.0000000000	1.0000000000000
1918.0000000000	1.0000000000000
1920.0000000000	1.0000000000000
1922.0000000000	1.0000000000000
1924.0000000000	1.0000000000000
1926.0000000000	1.0000000000000
1928.0000000000	1.0000000000000
1930.0000000000	1.0000000000000
1932.0000000000	1.0000000000000
1934.0000000000	1.0000000000000
1936.0000000000	1.0000000000000
